CPU:	Idl:	Ker:	Usr:	Mem %:
26.92	73.08	5.77	21.15	48.00
15.38	84.62	2.88	12.50	48.00
26.92	73.08	8.65	18.27	48.00
18.27	81.73	5.77	12.50	48.00
19.19	80.81	4.04	15.15	48.00
16.83	83.17	4.95	11.88	48.00
18.27	81.73	6.73	11.54	48.00
17.31	82.69	6.73	10.58	48.00
16.35	83.65	4.81	11.54	48.00
23.08	76.92	4.81	18.27	48.00
12.50	87.50	1.92	10.58	48.00
18.75	81.25	6.25	12.50	48.00
16.35	83.65	0.96	15.38	48.00
12.50	87.50	2.88	9.62	48.00
23.08	76.92	4.81	18.27	48.00
28.85	71.15	10.58	18.27	48.00
25.96	74.04	7.69	18.27	48.00
21.36	78.64	5.83	15.53	48.00
10.42	89.58	3.12	7.29	48.00
22.12	77.88	8.65	13.46	48.00
19.23	80.77	6.73	12.50	48.00
25.96	74.04	11.54	14.42	48.00
21.15	78.85	8.65	12.50	48.00
14.42	85.58	5.77	8.65	48.00
15.84	84.16	2.97	12.87	48.00
15.31	84.69	3.06	12.24	48.00
22.12	77.88	2.88	19.23	48.00
20.19	79.81	6.73	13.46	48.00
23.08	76.92	4.81	18.27	48.00
21.36	78.64	8.74	12.62	48.00
29.52	70.48	6.67	22.86	48.00
21.88	78.12	4.17	17.71	48.00
23.08	76.92	8.65	14.42	48.00
6.73	93.27	2.88	3.85	48.00
19.23	80.77	5.77	13.46	48.00
23.08	76.92	12.50	10.58	48.00
27.45	72.55	5.88	21.57	48.00
15.31	84.69	6.12	9.18	48.00
20.19	79.81	1.92	18.27	48.00
14.42	85.58	2.88	11.54	48.00
15.38	84.62	3.85	11.54	48.00
